DRY RUN Instagram final schedule | 2026-08-20 to 2026-08-26
2026-08-20T07:00:00+09:00 | ENG-000006 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000006-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000006-answer.png | caption=yes | pending | past_due_hold
2026-08-22T07:00:00+09:00 | ENG-000018 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000018-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000018-answer.png | caption=yes | pending | scheduled
2026-08-22T09:30:00+09:00 | ENG-000019 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000019-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000019-answer.png | caption=yes | pending | scheduled
2026-08-22T12:00:00+09:00 | ENG-000020 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000020-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000020-answer.png | caption=yes | pending | scheduled
2026-08-22T15:00:00+09:00 | ENG-000021 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000021-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000021-answer.png | caption=yes | pending | scheduled
2026-08-22T18:00:00+09:00 | ENG-000022 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000022-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000022-answer.png | caption=yes | pending | scheduled
2026-08-22T20:30:00+09:00 | ENG-000023 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000023-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000023-answer.png | caption=yes | pending | scheduled
2026-08-22T22:30:00+09:00 | ENG-100004 | normal | Stories | artifacts/stories/ENG-100004-story.png | caption=no | pending | scheduled
2026-08-23T07:00:00+09:00 | ENG-000024 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000024-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000024-answer.png | caption=yes | pending | scheduled
2026-08-23T09:30:00+09:00 | ENG-000025 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000025-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000025-answer.png | caption=yes | pending | scheduled
2026-08-23T12:00:00+09:00 | ENG-000026 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000026-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000026-answer.png | caption=yes | pending | scheduled
2026-08-23T15:00:00+09:00 | ENG-000027 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000027-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000027-answer.png | caption=yes | pending | scheduled
2026-08-23T18:00:00+09:00 | ENG-000028 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000028-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000028-answer.png | caption=yes | pending | scheduled
2026-08-23T20:30:00+09:00 | ENG-000029 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000029-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000029-answer.png | caption=yes | pending | scheduled
2026-08-23T22:30:00+09:00 | ENG-100005 | normal | Stories | artifacts/stories/ENG-100005-story.png | caption=no | pending | scheduled
2026-08-24T07:00:00+09:00 | ENG-000030 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000030-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000030-answer.png | caption=yes | pending | scheduled
2026-08-24T09:30:00+09:00 | ENG-000031 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000031-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000031-answer.png | caption=yes | pending | scheduled
2026-08-24T12:00:00+09:00 | ENG-000032 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000032-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000032-answer.png | caption=yes | pending | scheduled
2026-08-24T15:00:00+09:00 | ENG-000033 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000033-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000033-answer.png | caption=yes | pending | scheduled
2026-08-24T18:00:00+09:00 | ENG-000034 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000034-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000034-answer.png | caption=yes | pending | scheduled
2026-08-24T20:30:00+09:00 | ENG-000035 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000035-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000035-answer.png | caption=yes | pending | scheduled
2026-08-24T22:30:00+09:00 | ENG-100006 | normal | Stories | artifacts/stories/ENG-100006-story.png | caption=no | pending | scheduled
2026-08-25T07:00:00+09:00 | ENG-000036 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000036-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000036-answer.png | caption=yes | pending | scheduled
2026-08-25T09:30:00+09:00 | ENG-000037 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000037-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000037-answer.png | caption=yes | pending | scheduled
2026-08-25T12:00:00+09:00 | ENG-000038 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000038-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000038-answer.png | caption=yes | pending | scheduled
2026-08-25T15:00:00+09:00 | ENG-000039 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000039-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000039-answer.png | caption=yes | pending | scheduled
2026-08-25T18:00:00+09:00 | ENG-000040 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000040-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000040-answer.png | caption=yes | pending | scheduled
2026-08-25T20:30:00+09:00 | ENG-000041 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000041-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000041-answer.png | caption=yes | pending | scheduled
2026-08-25T22:30:00+09:00 | ENG-100007 | normal | Stories | artifacts/stories/ENG-100007-story.png | caption=no | pending | scheduled
2026-08-26T07:00:00+09:00 | ENG-000042 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000042-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000042-answer.png | caption=yes | pending | scheduled
2026-08-26T09:30:00+09:00 | ENG-000043 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000043-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000043-answer.png | caption=yes | pending | scheduled
2026-08-26T12:00:00+09:00 | ENG-000044 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000044-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000044-answer.png | caption=yes | pending | scheduled
2026-08-26T15:00:00+09:00 | ENG-000045 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000045-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000045-answer.png | caption=yes | pending | scheduled
2026-08-26T18:00:00+09:00 | ENG-000046 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000046-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000046-answer.png | caption=yes | pending | scheduled
2026-08-26T20:30:00+09:00 | ENG-000047 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000047-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000047-answer.png | caption=yes | pending | scheduled
2026-08-26T22:30:00+09:00 | ENG-100008 | normal | Stories | artifacts/stories/ENG-100008-story.png | caption=no | pending | scheduled
